id,AGE,AREA_KM2,NAME,POP,FIPS,time,SEX
198,96,364485,Japan,17548,JA,2011,Male
199,97,364485,Japan,12647,JA,2011,Male
200,98,364485,Japan,8597,JA,2011,Male
201,99,364485,Japan,5621,JA,2011,Male
202,100,364485,Japan,8426,JA,2011,Male
203,0,364485,Japan,552718,JA,2012,Male
204,1,364485,Japan,562381,JA,2012,Male
205,2,364485,Japan,571228,JA,2012,Male
206,3,364485,Japan,580101,JA,2012,Male
207,4,364485,Japan,583680,JA,2012,Male
208,5,364485,Japan,580689,JA,2012,Male
209,6,364485,Japan,567573,JA,2012,Male
210,7,364485,Japan,570997,JA,2012,Male
211,8,364485,Japan,589638,JA,2012,Male
212,9,364485,Japan,601460,JA,2012,Male
213,10,364485,Japan,611635,JA,2012,Male
214,11,364485,Japan,619648,JA,2012,Male
215,12,364485,Japan,618902,JA,2012,Male
216,13,364485,Japan,657007,JA,2012,Male
217,14,364485,Japan,660146,JA,2012,Male
218,15,364485,Japan,661410,JA,2012,Male
219,16,364485,Japan,673949,JA,2012,Male
220,17,364485,Japan,677336,JA,2012,Male
221,18,364485,Japan,626047,JA,2012,Male
222,19,364485,Japan,619695,JA,2012,Male
223,20,364485,Japan,630404,JA,2012,Male
224,21,364485,Japan,618255,JA,2012,Male
225,22,364485,Japan,609637,JA,2012,Male
226,23,364485,Japan,620317,JA,2012,Male
227,24,364485,Japan,647983,JA,2012,Male
228,25,364485,Japan,670825,JA,2012,Male
229,26,364485,Japan,687202,JA,2012,Male
230,27,364485,Japan,708821,JA,2012,Male
231,28,364485,Japan,728346,JA,2012,Male
232,29,364485,Japan,731940,JA,2012,Male
233,30,364485,Japan,734361,JA,2012,Male
234,31,364485,Japan,753807,JA,2012,Male
235,32,364485,Japan,788470,JA,2012,Male
236,33,364485,Japan,774976,JA,2012,Male
237,34,364485,Japan,803034,JA,2012,Male
238,35,364485,Japan,826018,JA,2012,Male
239,36,364485,Japan,854179,JA,2012,Male
240,37,364485,Japan,903726,JA,2012,Male
241,38,364485,Japan,965967,JA,2012,Male
242,39,364485,Japan,969584,JA,2012,Male
243,40,364485,Japan,946897,JA,2012,Male
244,41,364485,Japan,922957,JA,2012,Male
245,42,364485,Japan,898269,JA,2012,Male
246,43,364485,Japan,900247,JA,2012,Male
247,44,364485,Japan,881154,JA,2012,Male
248,45,364485,Japan,827890,JA,2012,Male
249,46,364485,Japan,731611,JA,2012,Male
250,47,364485,Japan,840131,JA,2012,Male
251,48,364485,Japan,811828,JA,2012,Male
252,49,364485,Japan,789094,JA,2012,Male
253,50,364485,Japan,765987,JA,2012,Male
254,51,364485,Japan,764451,JA,2012,Male
255,52,364485,Japan,770800,JA,2012,Male
256,53,364485,Japan,784405,JA,2012,Male
257,54,364485,Japan,762410,JA,2012,Male
258,55,364485,Japan,754028,JA,2012,Male
259,56,364485,Japan,791627,JA,2012,Male
260,57,364485,Japan,811854,JA,2012,Male
261,58,364485,Japan,825728,JA,2012,Male
262,59,364485,Japan,869963,JA,2012,Male
263,60,364485,Japan,914478,JA,2012,Male
264,61,364485,Japan,969537,JA,2012,Male
265,62,364485,Japan,1040254,JA,2012,Male
266,63,364485,Japan,1107056,JA,2012,Male
267,64,364485,Japan,1081586,JA,2012,Male
268,65,364485,Japan,942200,JA,2012,Male
269,66,364485,Japan,664684,JA,2012,Male
270,67,364485,Japan,725671,JA,2012,Male
271,68,364485,Japan,816289,JA,2012,Male
272,69,364485,Japan,795184,JA,2012,Male
273,70,364485,Japan,798933,JA,2012,Male
274,71,364485,Japan,755165,JA,2012,Male
275,72,364485,Japan,669901,JA,2012,Male
276,73,364485,Japan,584066,JA,2012,Male
277,74,364485,Japan,605610,JA,2012,Male
278,75,364485,Japan,603997,JA,2012,Male
279,76,364485,Japan,576682,JA,2012,Male
280,77,364485,Japan,530527,JA,2012,Male
281,78,364485,Japan,491743,JA,2012,Male
282,79,364485,Japan,468363,JA,2012,Male
283,80,364485,Japan,437437,JA,2012,Male
284,81,364485,Japan,396977,JA,2012,Male
